frameNo: 2 | Accumulated: 0MouseOnly?7760678445312
frameNo: 2 | Accumulated: 0MouseOnly?7760678465451
frameNo: 2 | Accumulated: 0MouseOnly?7760678475740
frameNo: 2 | Accumulated: 0MouseOnly?7760678492905
frameNo: 2 | Accumulated: 0MouseOnly?7760678520236
frameNo: 2 | Accumulated: 0MouseOnly?7760678547387
frameNo: 2 | Accumulated: 0MouseOnly?7760678556609
frameNo: 2 | Accumulated: 0MouseOnly?7760678574679
frameNo: 2 | Accumulated: 0MouseOnly?7760678602004
frameNo: 2 | Accumulated: 0MouseOnly?7760678629483
frameNo: 2 | Accumulated: 0MouseOnly?7760678656387
frameNo: 2 | Accumulated: 0MouseOnly?7760678683973
frameNo: 2 | Accumulated: 0MouseOnly?7760678711004
frameNo: 2 | Accumulated: 0MouseOnly?7760678720286
frameNo: 2 | Accumulated: 0MouseOnly?7760678738629
frameNo: 2 | Accumulated: 0MouseOnly?7760678749959
frameNo: 2 | Accumulated: 0MouseOnly?7760678765470
frameNo: 2 | Accumulated: 0MouseOnly?7760678793180
frameNo: 2 | Accumulated: 0MouseOnly?7760678820125
frameNo: 2 | Accumulated: 0MouseOnly?7760678847724
frameNo: 2 | Accumulated: 0MouseOnly?7760678874794
frameNo: 2 | Accumulated: 0MouseOnly?7760678902054
frameNo: 2 | Accumulated: 0MouseOnly?7760678929300
frameNo: 2 | Accumulated: 0MouseOnly?7760678956627
frameNo: 2 | Accumulated: 0MouseOnly?7760678984071
frameNo: 2 | Accumulated: 0MouseOnly?7760679002422
frameNo: 2 | Accumulated: 0MouseOnly?7760679011116
frameNo: 2 | Accumulated: 0MouseOnly?7760679039012
frameNo: 2 | Accumulated: 0MouseOnly?7760679065646
frameNo: 2 | Accumulated: 0MouseOnly?7760679092986
frameNo: 2 | Accumulated: 0MouseOnly?7760679120047
frameNo: 2 | Accumulated: 0MouseOnly?7760679147344
frameNo: 2 | Accumulated: 0MouseOnly?7760679174570
frameNo: 2 | Accumulated: 0MouseOnly?7760679202011
frameNo: 2 | Accumulated: 0MouseOnly?7760679228987
frameNo: 2 | Accumulated: 0MouseOnly?7760679256197
frameNo: 2 | Accumulated: 0MouseOnly?7760679283683
frameNo: 2 | Accumulated: 0MouseOnly?7760679310875
frameNo: 2 | Accumulated: 0MouseOnly?7760679338499
frameNo: 2 | Accumulated: 0MouseOnly?7760679365568
frameNo: 2 | Accumulated: 0MouseOnly?7760679393088
frameNo: 2 | Accumulated: 0MouseOnly?7760679420387
frameNo: 2 | Accumulated: 0MouseOnly?7760679448393
frameNo: 2 | Accumulated: 0MouseOnly?7760679474899
frameNo: 2 | Accumulated: 0MouseOnly?7760679486523
frameNo: 2 | Accumulated: 0MouseOnly?7760679502177
frameNo: 2 | Accumulated: 0MouseOnly?7760679529475
frameNo: 2 | Accumulated: 0MouseOnly?7760679556484
frameNo: 2 | Accumulated: 0MouseOnly?7760679583749
frameNo: 2 | Accumulated: 0MouseOnly?7760679610889
frameNo: 2 | Accumulated: 1 | PTS: 7760679613536 | PTSInterval: 1050294000
frameNo: 3 | Accumulated: 0MouseOnly?7760679638604
frameNo: 3 | Accumulated: 0MouseOnly?7760679666030
frameNo: 3 | Accumulated: 0MouseOnly?7760679693196
frameNo: 3 | Accumulated: 0MouseOnly?7760679720744
frameNo: 3 | Accumulated: 0MouseOnly?7760679747788
frameNo: 3 | Accumulated: 0MouseOnly?7760679775054
frameNo: 3 | Accumulated: 0MouseOnly?7760679780236
frameNo: 3 | Accumulated: 0MouseOnly?7760679802118
frameNo: 3 | Accumulated: 0MouseOnly?7760679829348
frameNo: 3 | Accumulated: 0MouseOnly?7760679856683
frameNo: 3 | Accumulated: 0MouseOnly?7760679883992
frameNo: 3 | Accumulated: 0MouseOnly?7760679911280
frameNo: 3 | Accumulated: 0MouseOnly?7760679938618
frameNo: 3 | Accumulated: 0MouseOnly?7760679965789
frameNo: 3 | Accumulated: 0MouseOnly?7760679993116
frameNo: 3 | Accumulated: 0MouseOnly?7760680020281
frameNo: 3 | Accumulated: 0MouseOnly?7760680047560
frameNo: 3 | Accumulated: 0MouseOnly?7760680074883
frameNo: 3 | Accumulated: 0MouseOnly?7760680081625
frameNo: 3 | Accumulated: 0MouseOnly?7760680102138
frameNo: 3 | Accumulated: 0MouseOnly?7760680129367
frameNo: 3 | Accumulated: 0MouseOnly?7760680156646
frameNo: 3 | Accumulated: 1 | PTS: 7760680182738 | PTSInterval: 166917000
frameNo: 4 | Accumulated: 0MouseOnly?7760680183963
frameNo: 4 | Accumulated: 0MouseOnly?7760680211158
frameNo: 4 | Accumulated: 0MouseOnly?7760680216399
frameNo: 4 | Accumulated: 0MouseOnly?7760680238429
frameNo: 4 | Accumulated: 0MouseOnly?7760680265879
frameNo: 4 | Accumulated: 0MouseOnly?7760680293014
frameNo: 4 | Accumulated: 0MouseOnly?7760680320314
frameNo: 4 | Accumulated: 0MouseOnly?7760680347632
frameNo: 4 | Accumulated: 1 | PTS: 7760680354070 | PTSInterval: 50243000
frameNo: 5 | Accumulated: 0MouseOnly?7760680374902
frameNo: 5 | Accumulated: 0MouseOnly?7760680381413
frameNo: 5 | Accumulated: 0MouseOnly?7760680402149
frameNo: 5 | Accumulated: 0MouseOnly?7760680429390
frameNo: 5 | Accumulated: 0MouseOnly?7760680434532
frameNo: 5 | Accumulated: 0MouseOnly?7760680456831
frameNo: 5 | Accumulated: 0MouseOnly?7760680461110
frameNo: 5 | Accumulated: 0MouseOnly?7760680483972
frameNo: 5 | Accumulated: 0MouseOnly?7760680511152
frameNo: 5 | Accumulated: 0MouseOnly?7760680538488
frameNo: 5 | Accumulated: 0MouseOnly?7760680565855
frameNo: 5 | Accumulated: 0MouseOnly?7760680593154
frameNo: 5 | Accumulated: 0MouseOnly?7760680597527
frameNo: 5 | Accumulated: 0MouseOnly?7760680620693
frameNo: 5 | Accumulated: 0MouseOnly?7760680647939
frameNo: 5 | Accumulated: 0MouseOnly?7760680675518
frameNo: 5 | Accumulated: 0MouseOnly?7760680702461
frameNo: 5 | Accumulated: 0MouseOnly?7760680730072
frameNo: 5 | Accumulated: 0MouseOnly?7760680757560
frameNo: 5 | Accumulated: 0MouseOnly?7760680784703
frameNo: 5 | Accumulated: 0MouseOnly?7760680811528
frameNo: 5 | Accumulated: 0MouseOnly?7760680839228
frameNo: 5 | Accumulated: 0MouseOnly?7760680850533
frameNo: 5 | Accumulated: 0MouseOnly?7760680867118
frameNo: 5 | Accumulated: 0MouseOnly?7760680893883
frameNo: 5 | Accumulated: 0MouseOnly?7760680920850
frameNo: 5 | Accumulated: 0MouseOnly?7760680948071
frameNo: 5 | Accumulated: 0MouseOnly?7760680976302
frameNo: 5 | Accumulated: 0MouseOnly?7760680990308
frameNo: 5 | Accumulated: 0MouseOnly?7760681003001
frameNo: 5 | Accumulated: 0MouseOnly?7760681030220
frameNo: 5 | Accumulated: 0MouseOnly?7760681057439
frameNo: 5 | Accumulated: 0MouseOnly?7760681084452
frameNo: 5 | Accumulated: 0MouseOnly?7760681112043
frameNo: 5 | Accumulated: 0MouseOnly?7760681138957
frameNo: 5 | Accumulated: 0MouseOnly?7760681166426
frameNo: 5 | Accumulated: 0MouseOnly?7760681193569
